Topic,Section,Response
Underrepresentation of women and minorities in sceince,Responsible Science,7
Reproducibility crisis,Responsible Science,6
Open Science practices,Responsible Science,6
Coding practices,Responsible Science,5
Online teaching,Responsible Science,2
Artificial intelligence,Responsible Science,7
Ethical considerations in Research,Responsible Science,1
Funding sources and bias,Responsible Science,2
Citizen sceince,Data & Data Analysis,6
Role of hypothesis in the era of big data,Data & Data Analysis,4
p value conundrum,Data & Data Analysis,2
Harnessing modern computing power - perks and pitfalls,Data & Data Analysis,4
Cloud computing,Data & Data Analysis,3
R Shiny tools,Data & Data Analysis,6
Educating & empowering data users,Data & Data Analysis,1
Pay to publish model,Scientific Publishing,5
Predatory journals,Scientific Publishing,6
Preprint servers,Scientific Publishing,1
Pre-registering studies,Scientific Publishing,5
Data repositories,Scientific Publishing,3
Peer review and response to reviewers,Scientific Publishing,3
Double blind reviews,Scientific Publishing,4
Websites and social media,Promoting Science,6
Job application packets,Promoting Science,6
Science communication and outreach,Promoting Science,8
Keeping up with scientific literature,Promoting Science,3
Presentation woes,Promoting Science,5
Mental health,Promoting Science,8
